id,date,effective_date,event,significance,nations_and_indigenous_organizations,governments,companies_and_assets,province_or_territory,region,sector_theme,amount,economic_mechanism,stage,primary_sources,independent_verification,dissent_or_competing_perspective,status_as_of_2026_07_15,next_catalyst,confidence,unresolved_questions
YTD26-001,2026-01-16,,"Canada announced an unused-spectrum licensing framework intended to improve rural, remote, and Indigenous connectivity.","It creates a route for Indigenous and other local applicants to use spectrum that incumbents are not deploying, but it did not itself build a network or transfer a licence.",,"Government of Canada | Innovation, Science and Economic Development Canada",,Canada-wide,rural and remote Canada,digital infrastructure | regulation | economic development,,spectrum licensing | regulatory access,implementation,Government of Canada taking action to provide greater access to unused spectrum: https://www.canada.ca/en/innovation-science-economic-development/news/2026/01/government-of-canada-taking-action-to-provide-greater-access-to-unused-spectrum-supporting-connectivity-in-rural-remote-and-indigenous-communities.html,,"Access to spectrum is only one constraint. Capital, backhaul, operating capacity, and viable customer economics remain separate barriers.",Framework announced. The first Indigenous application window was expected in spring 2026; no material licence award or completed network was located in this review.,Publication of licence awards and evidence of financed network deployment.,high,"Which Indigenous applicants received licences? | How much new coverage will result, on what timetable, and with what capital stack?"
YTD26-002,2026-01-26,2026-01-26,"Skeena Gold + Silver's Eskay Creek project received a B.C. environmental assessment certificate, a federal impact-assessment decision, and a Mines Act permit with Tahltan consent.","Eskay Creek became the first project authorized through a consent-based decision-making agreement under section 7 of B.C.'s Declaration Act. It is a practical test of consent as a project-governance mechanism, not only a policy aspiration.",Tahltan Central Government | Tahltan Nation | Nisga'a Nation,Government of British Columbia | Government of Canada,Skeena Gold + Silver | Eskay Creek Revitalization Project,British Columbia,northwestern British Columbia | Golden Triangle,mining | critical minerals | consent | environmental assessment,,consent agreement | permit | environmental approval | benefit agreement,permit or approval,Eskay Creek mine project receives environmental assessment certificate: https://news.gov.bc.ca/releases/2026ENV0003-000074 | B.C. issues Mines Act permit for Eskay Creek: https://archive.news.gov.bc.ca/releases/news_releases_2024-2028/2026MCM0008-000078.htm | Federal updated decision statement: https://iaac-aeic.gc.ca/050/evaluations/document/166264 | Skeena corporate announcement: https://skeenagoldsilver.com/news-release/skeena-gold-silver-secures-environmental-assessment-certificate-and-federal-impact-assessment-approval-for-eskay-creek/,B.C. issues environmental assessment certificate for Eskay Creek mine: https://infonews.ca/news/7517221/bc-issues-environmental-assessment-certificate-for-eskay-creek-mine/,"Tahltan consent is not a substitute for all remaining regulatory, financing, environmental, and execution risk. Support from one rights-holding Nation should not be generalized into a single regional Indigenous view.",Core provincial and federal approvals were issued. Additional authorizations and construction execution remained; the company targeted first production in the second quarter of 2027.,"Remaining permits, financing and construction milestones, then the company's Q2 2027 production target.",high,Will the project meet its construction schedule and budget? | How will consent conditions and benefit commitments be monitored through operations?
YTD26-003,2026-01-27,2026-01-27,Wiikwemkoong Unceded Territory acquired Edmonton's Connect Centre for approximately $65 million.,The closed commercial-property transaction broadens the pattern of First Nation investment beyond resource projects and reserve-adjacent real estate into institutional urban assets.,Wiikwemkoong Unceded Territory,,Connect Centre | ICE District,Alberta,Edmonton,commercial real estate | Nation ownership | own-source revenue,65000000 CAD (reported purchase price),asset acquisition | direct ownership,transaction closed,Wiikwemkoong buys Edmonton commercial property: https://anishinabeknews.ca/2026/01/wiikwemkoong-buys-edmonton-commercial-property-for-65-million/,Wiikwemkoong buys retail centre: https://www.costar.com/article/2134272918/wiikwemkoong-buys-retail-centre-as-edmontons-ice-district-draws-new-investors | Historic Indigenous investment adds momentum: https://www.albertanativenews.com/historic-indigenous-investment-adds-momentum-to-edmonton-downtown-development/,"Purchase price alone does not reveal leverage, capitalization rate, tenant concentration, or the distribution policy that will determine community benefit.",Acquisition reported as complete. Financing terms and ongoing asset performance were not publicly disclosed.,"Operating performance, refinancing, or Nation reporting on distributions and strategic purpose.",medium,What debt and equity funded the acquisition? | What return and governance thresholds does the Nation use for urban real estate?
YTD26-004,2026-02-12,,Canada introduced Bill C-21 to give effect to the Red River Métis Self-Government Recognition and Implementation Treaty.,"If enacted, it would give statutory effect to a first-of-its-kind Métis self-government treaty. As of the cutoff it remained a bill, not operative law.",Manitoba Métis Federation | Red River Métis | Assembly of Manitoba Chiefs,Government of Canada,,Manitoba | Canada-wide,Red River Métis Homeland,Métis | self-government | legislation | jurisdiction,,treaty implementation | legislation | jurisdiction,legislation introduced,LEGISinfo: Bill C-21: https://www.parl.ca/legisinfo/en/bill/45-1/c-21 | Canada introduces treaty implementation bill: https://www.canada.ca/en/crown-indigenous-relations-northern-affairs/news/2026/02/canada-introduces-bill-for-self-government-treaty-with-the-manitoba-metis-federation.html,,The Assembly of Manitoba Chiefs argued that First Nations treaty rights and jurisdiction required stronger protection before the bill advanced.,At second reading in the House of Commons. It had not received Royal Assent.,Committee referral and report-stage progress in Parliament.,high,Will Parliament amend the bill to address First Nations concerns? | What fiscal and implementation arrangements would follow enactment?
YTD26-005,2026-02-19,2026-02-19,Canada and five A-Tlegay member Nations signed a 20-year fisheries reconciliation agreement.,"The agreement secures access through open-market purchases of licences and quota, shellfish-aquaculture opportunities, training, and collaborative management without expanding the overall commercial fishery.",K’ómoks First Nation | Kwiakah First Nation | Tlowitsis Nation | We Wai Kai Nation | Wei Wai Kum First Nation | A-Tlegay Fisheries Society,Government of Canada | Fisheries and Oceans Canada,,British Columbia,Vancouver Island | central coast,fisheries | aquaculture | rights | economic reconciliation,,reconciliation agreement | licence and quota acquisition | training | co-management,implementation,Canada and A-Tlegay member Nations sign fisheries agreement: https://www.canada.ca/en/fisheries-oceans/news/2026/02/government-of-canada-and-the-a-tlegay-member-nations-sign-milestone-reconciliation-agreement-for-fisheries-resources.html,,"The financial terms were not public, and market-purchased access does not resolve every rights-based fishing question.",Agreement signed and implementation beginning. The public release did not disclose consideration or an acquisition schedule.,"Licence, quota, aquaculture, training, and co-management implementation reports.",high,What capital is committed and how quickly will access be acquired? | What governance and distribution arrangements apply among the five Nations?
YTD26-006,2026-02-20,2026-02-20,"Musqueam Indian Band and Canada signed three agreements concerning rights recognition, stewardship, and fisheries.",The package moves parts of Musqueam-Crown relations into negotiated implementation and stewardship structures while leaving broader title and jurisdiction questions intact.,Musqueam Indian Band,Government of Canada,,British Columbia,Lower Mainland | Fraser River | Salish Sea,rights | stewardship | fisheries | jurisdiction,,rights-recognition agreement | stewardship agreement | fisheries agreement,implementation,Musqueam and Canada sign historic agreements: https://www.canada.ca/en/crown-indigenous-relations-northern-affairs/news/2026/02/musqueam-and-canada-sign-historic-agreements-recognizing-rights-stewardship-and-fisheries.html,Musqueam's rights recognition agreement: separating fact from fiction: https://jfklaw.ca/musqueams-rights-recognition-agreement-separating-fact-from-fiction/,"Some public commentary overstated or mischaracterized the agreements. They should be read by their legal text and implementation mechanics, not by political shorthand.",Signed. Public evidence of implementation outcomes remained early.,"Implementation bodies, workplans, and any measurable fisheries or stewardship outcomes.",high,Which decisions move into shared or consent-based processes? | What economic capacity and recurring funding accompany implementation?
YTD26-007,2026-02-27,2026-02-27,Ontario Superior Court upheld the Crown's $3.6-billion compensation determination for the Robinson-Superior Treaty annuity breach.,The first-of-its-kind constitutional-compliance review accepted a range of honourable Crown outcomes while criticizing elements of the engagement process. It clarified judicial review of Crown-set treaty compensation after failed negotiation.,Robinson-Superior Treaty First Nations | Red Rock First Nation | Whitesand First Nation,Government of Canada | Government of Ontario,,Ontario,Lake Superior treaty territory,treaty | settlement | wealth governance | litigation,3600000000 CAD (Crown-determined compensation plus agreed costs),treaty compensation | court-supervised Crown determination,judgment,"Red Rock First Nation v. Canada, 2026 ONSC 1169: https://rrib.ca/files/5017/7222/3628/Red_Rock_First_Nation_v._Canada_Attorney_General_2026_ONSC_1169__Decision_on_Motion_for_Constitutional_Compliance_February_27_2026.docx.pdf",CanLII mirror and case summary: https://www.minicounsel.ca/scj/2026/1169,The court found serious relational harm in late disclosure and aspects of Crown engagement even though it declined to overturn the amount. A settlement amount is not a proxy for community wealth outcomes.,"Compensation determination upheld. Allocation, costs, distribution, investment governance, and any further appellate steps required continued monitoring.","Final implementation, payment, allocation, and any appeal or related costs decision.",high,When and how will compensation be paid and allocated? | What governance will protect intergenerational value while meeting current community priorities?
YTD26-008,2026-02-28,,Kitsaki Management and March Consulting entered a definitive agreement to form a 51-per-cent Indigenous-owned engineering partnership.,"The structure targets professional-services ownership and procurement capacity, an underdeveloped layer between Indigenous project equity and outsourced technical work.",Lac La Ronge Indian Band | Kitsaki Management Limited Partnership,,March Consulting Associates | proposed engineering limited partnership,Saskatchewan,northern Saskatchewan,engineering | procurement | entrepreneurship | professional services,,joint venture | majority ownership | procurement,proposal,Kitsaki and March enter definitive agreement: https://www.marchconsulting.com/2026/02/28/kitsaki-and-march-enter-definitive-agreement-to-form-indigenous-owned-engineering-firm/,,"A definitive formation agreement is stronger than an MOU but does not demonstrate revenue, Indigenous technical employment, or procurement wins.","Agreement announced. Closing, operating launch, and contract awards were not independently confirmed.","Formation close, management appointments, and awarded contracts.",medium,"Has the partnership legally closed and begun operating? | How are control, profit distribution, and technical capacity shared?"
YTD26-009,2026-03-07,2026-03-07,"Mississaugas of the Credit, Canada, and Ontario completed a $183.4-million Rouge River Valley Tract Claim settlement.",The member-approved settlement converts a historic treaty-related claim into investable capital while explicitly leaving private-property ownership outside the claim.,Mississaugas of the Credit First Nation,Government of Canada | Government of Ontario,,Ontario,Greater Toronto Area | Rouge River Valley,specific claims | settlement | trusts | wealth governance,183400000 CAD ($108.4 million from Canada and $75 million from Ontario),negotiated settlement | cash compensation,transaction closed,Rouge River Valley Tract Claim final settlement: https://www.canada.ca/en/crown-indigenous-relations-northern-affairs/news/2026/03/mississaugas-of-the-credit-canada-and-ontario-celebrate-final-settlement-of-rouge-river-valley-tract-claim.html,,"The settlement resolves past losses, but public sources did not disclose the Nation's investment, trust, distribution, or acquisition policy.",Approved by members and signed by all three parties.,"Nation decisions on trust structure, investment policy, land acquisition, and community priorities.",high,How will the capital be governed and allocated across generations? | Will the settlement seed operating assets or primarily fund community priorities?
YTD26-010,2026-03-10,2026-02-02,A federal Indigenous loan guarantee supported First Nation ownership in Hydro One's Chatham-to-Lakeshore transmission line.,"The transaction moved from announced partnership to financed equity. Five First Nations collectively held 50 per cent, with the federal guarantee supporting two Nations' acquisition of nearly 20 per cent.",Aamjiwnaang First Nation | Caldwell First Nation | Chippewas of Kettle and Stony Point First Nation | Chippewas of the Thames First Nation | Walpole Island First Nation,Government of Canada,Hydro One | Chatham-to-Lakeshore Transmission Line,Ontario,southwestern Ontario,electricity | transmission | loan guarantees | Nation ownership,,equity acquisition | federal loan guarantee | 50-50 partnership,financial close,Second federal Indigenous loan guarantee issued: https://cilgc-cgpac.ca/2026/03/second-loan-guarantee-issued-under-the-federal-indigenous-loan-guarantee-program | Government supports Hydro One line equity purchase: https://www.canada.ca/en/department-finance/news/2026/03/government-supports-equity-purchase-of-hydro-one-line-to-advance-indigenous-economic-participation.html | Hydro One Indigenous partnerships: https://www.hydroone.com/about/regulatory/hydro-one-indigenous-partnerships,Hydro One annual filing: https://www.sec.gov/Archives/edgar/data/1712356/000162828026008009/a2025holaif.htm | Historic 50-50 energy deal: https://sarnianewstoday.ca/sarnia/news/2026/05/20/hydro-one-and-area-first-nations-build-trust-with-historic-5050-energy-deal,"The guarantee lowers financing friction but does not remove operating, regulatory, refinancing, or distribution-policy risk. Public sources did not expose each Nation's economics.",Ownership and supporting financing reported complete; the line was in service.,"First full-year distributions and disclosure of debt service, reserve policy, and community use of proceeds.",high,"What are the acquisition price, debt terms, and forecast distributions? | How will the five Nations govern their collective ownership vehicle?"
